date,h1,h3,h12
1960-07-01,0.611166,0.739000,0.858083
1960-08-01,0.617998,0.743498,0.859964
1960-09-01,0.624045,0.749183,0.864728
1960-10-01,0.635533,0.760033,0.870603
1960-11-01,0.664085,0.782317,0.879669
1960-12-01,0.680934,0.798227,0.889360
1961-01-01,0.670389,0.795917,0.893177
1961-02-01,0.665511,0.794533,0.895736
1961-03-01,0.666042,0.793760,0.894333
1961-04-01,0.668659,0.791084,0.889135
1961-05-01,0.651454,0.778242,0.884257
1961-06-01,0.638132,0.768888,0.881396
1961-07-01,0.625399,0.759502,0.877799
1961-08-01,0.621661,0.756305,0.876091
1961-09-01,0.622905,0.754753,0.872094
1961-10-01,0.620500,0.750570,0.866529
1961-11-01,0.610983,0.742154,0.860387
1961-12-01,0.601468,0.735055,0.856891
1962-01-01,0.606764,0.740049,0.856979
1962-02-01,0.605290,0.740332,0.855488
1962-03-01,0.591959,0.728978,0.850644
1962-04-01,0.591953,0.727055,0.847292
1962-05-01,0.589643,0.724535,0.845646
1962-06-01,0.583761,0.719028,0.842896
1962-07-01,0.573887,0.708375,0.837709
1962-08-01,0.562873,0.698204,0.831666
1962-09-01,0.558213,0.693416,0.826176
1962-10-01,0.556329,0.689364,0.821263
1962-11-01,0.557193,0.686271,0.815794
1962-12-01,0.554929,0.681083,0.810788
1963-01-01,0.553554,0.676400,0.806489
1963-02-01,0.544287,0.667156,0.801675
1963-03-01,0.535071,0.660072,0.799339
1963-04-01,0.540485,0.663947,0.800691
1963-05-01,0.537262,0.661353,0.800130
1963-06-01,0.535391,0.659837,0.800101
1963-07-01,0.533239,0.658345,0.800341
1963-08-01,0.534520,0.660760,0.802117
1963-09-01,0.533916,0.661197,0.801852
1963-10-01,0.531367,0.659322,0.800507
1963-11-01,0.538237,0.664896,0.801541
1963-12-01,0.548374,0.670287,0.801637
1964-01-01,0.555595,0.674015,0.802131
1964-02-01,0.550299,0.669238,0.799979
1964-03-01,0.540353,0.660694,0.797309
1964-04-01,0.545404,0.662820,0.797659
1964-05-01,0.531295,0.654452,0.797128
1964-06-01,0.529943,0.656480,0.801142
1964-07-01,0.537412,0.666406,0.808508
1964-08-01,0.554089,0.682167,0.815985
1964-09-01,0.584451,0.709292,0.827003
1964-10-01,0.631060,0.746715,0.839778
1964-11-01,0.643682,0.759745,0.846192
1964-12-01,0.609007,0.730439,0.834287
1965-01-01,0.582623,0.707882,0.824479
1965-02-01,0.563369,0.691509,0.817242
1965-03-01,0.552655,0.681700,0.812401
1965-04-01,0.548941,0.677467,0.809220
1965-05-01,0.543169,0.672791,0.806889
1965-06-01,0.544893,0.675682,0.808115
1965-07-01,0.551043,0.680090,0.810035
1965-08-01,0.548073,0.675462,0.808569
1965-09-01,0.557033,0.679331,0.810000
1965-10-01,0.551199,0.676452,0.810565
1965-11-01,0.549031,0.677605,0.813364
1965-12-01,0.558703,0.688512,0.820469
1966-01-01,0.563760,0.694123,0.823156
1966-02-01,0.572984,0.703054,0.828615
1966-03-01,0.581938,0.711032,0.833593
1966-04-01,0.591076,0.718310,0.837274
1966-05-01,0.599079,0.725115,0.841253
1966-06-01,0.594342,0.721523,0.841830
1966-07-01,0.593798,0.721140,0.842606
1966-08-01,0.598117,0.724458,0.844999
1966-09-01,0.602280,0.728077,0.848250
1966-10-01,0.600375,0.726243,0.847537
1966-11-01,0.604553,0.729888,0.849237
1966-12-01,0.607312,0.733432,0.852103
1967-01-01,0.614305,0.739680,0.854887
1967-02-01,0.612366,0.738321,0.856340
1967-03-01,0.601993,0.728516,0.852976
1967-04-01,0.600801,0.725736,0.851001
1967-05-01,0.598288,0.725427,0.852156
1967-06-01,0.599718,0.730715,0.857670
1967-07-01,0.608700,0.740177,0.864238
1967-08-01,0.621527,0.749417,0.867319
1967-09-01,0.619647,0.748976,0.867889
1967-10-01,0.620793,0.751056,0.869720
1967-11-01,0.640819,0.768937,0.877247
1967-12-01,0.645682,0.773331,0.879505
1968-01-01,0.662869,0.785238,0.881251
1968-02-01,0.639570,0.767763,0.874265
1968-03-01,0.616217,0.747750,0.867383
1968-04-01,0.614263,0.744522,0.866066
1968-05-01,0.603991,0.733645,0.860488
1968-06-01,0.594059,0.726097,0.857412
1968-07-01,0.585208,0.717597,0.852695
1968-08-01,0.586470,0.716973,0.851258
1968-09-01,0.581096,0.714029,0.850693
1968-10-01,0.588949,0.719308,0.853193
1968-11-01,0.596156,0.726432,0.857576
1968-12-01,0.596374,0.730443,0.861989
1969-01-01,0.597500,0.733654,0.865607
1969-02-01,0.603370,0.741845,0.872773
1969-03-01,0.604891,0.747403,0.880202
1969-04-01,0.613218,0.757684,0.889894
1969-05-01,0.624133,0.769402,0.898826
1969-06-01,0.629452,0.772704,0.899344
1969-07-01,0.629493,0.771897,0.898308
1969-08-01,0.627952,0.769994,0.898183
1969-09-01,0.627033,0.768472,0.897282
1969-10-01,0.626904,0.768966,0.897450
1969-11-01,0.641473,0.779766,0.901154
1969-12-01,0.647031,0.787123,0.906621
1970-01-01,0.669356,0.807612,0.916115
1970-02-01,0.664754,0.807820,0.918779
1970-03-01,0.667487,0.810974,0.921453
1970-04-01,0.674629,0.815801,0.920955
1970-05-01,0.672074,0.813184,0.917842
1970-06-01,0.657888,0.799888,0.910436
1970-07-01,0.655840,0.797762,0.908242
1970-08-01,0.663459,0.803219,0.909047
1970-09-01,0.678173,0.813026,0.910262
1970-10-01,0.708697,0.835058,0.916668
