model,origin,target,horizon,variable,lpl,crps
GP-VAR-8 SV,2007-12-31,2008-03-31,1,joint,-4.013372428517734,
GP-VAR-8 SV,2007-12-31,2008-03-31,1,RGDP,-1.1379541882457636,0.6741174472225112
GP-VAR-8 SV,2007-12-31,2008-03-31,1,CPI,-0.9544110316048231,0.5519336274669823
GP-VAR-8 SV,2007-12-31,2008-03-31,1,FFR,-1.715766938543721,0.9710313487244382
GP-VAR-8 SV,2007-12-31,2008-12-31,4,joint,-8.431073278753832,
GP-VAR-8 SV,2007-12-31,2008-12-31,4,RGDP,-5.431183127129978,3.5085876773247486
GP-VAR-8 SV,2007-12-31,2008-12-31,4,CPI,-1.3774927573581353,0.8733219352555349
GP-VAR-8 SV,2007-12-31,2008-12-31,4,FFR,-2.5469983648420165,2.1569389188249826
GP-VAR-8 SV,2008-12-31,2009-03-31,1,joint,-5.476792339530762,
GP-VAR-8 SV,2008-12-31,2009-03-31,1,RGDP,-2.4461884749428564,1.8546149757271744
GP-VAR-8 SV,2008-12-31,2009-03-31,1,CPI,-1.6929132551169424,1.2308288464770647
GP-VAR-8 SV,2008-12-31,2009-03-31,1,FFR,-1.2118306572541657,0.670077846896067
GP-VAR-8 SV,2008-12-31,2009-12-31,4,joint,-6.123039811982274,
GP-VAR-8 SV,2008-12-31,2009-12-31,4,RGDP,-2.7555448882976843,2.245469722460106
GP-VAR-8 SV,2008-12-31,2009-12-31,4,CPI,-1.655663588911307,1.0949040567767043
GP-VAR-8 SV,2008-12-31,2009-12-31,4,FFR,-2.2064573225552326,1.759421682892003
GP-VAR-8 SV,2009-12-31,2010-03-31,1,joint,-4.805998026486771,
GP-VAR-8 SV,2009-12-31,2010-03-31,1,RGDP,-1.4251156160201741,0.8633759728065611
GP-VAR-8 SV,2009-12-31,2010-03-31,1,CPI,-1.1974462590949502,0.6903314462254533
GP-VAR-8 SV,2009-12-31,2010-03-31,1,FFR,-2.3746806922693833,1.6124628978691686
GP-VAR-8 SV,2009-12-31,2010-12-31,4,joint,-6.580247570642438,
GP-VAR-8 SV,2009-12-31,2010-12-31,4,RGDP,-1.6487398623454805,1.1074281122856133
GP-VAR-8 SV,2009-12-31,2010-12-31,4,CPI,-2.008160525591031,1.504210093099674
GP-VAR-8 SV,2009-12-31,2010-12-31,4,FFR,-3.685481987483061,3.168089333950663
GP-VAR-8 SV,2010-12-31,2011-03-31,1,joint,-3.676901823512293,
GP-VAR-8 SV,2010-12-31,2011-03-31,1,RGDP,-0.9312928158580875,0.5527633484350812
GP-VAR-8 SV,2010-12-31,2011-03-31,1,CPI,-1.5471737236532908,0.924379114405445
GP-VAR-8 SV,2010-12-31,2011-03-31,1,FFR,-1.150428635344688,0.6614506362128879
GP-VAR-8 SV,2010-12-31,2011-12-31,4,joint,-5.256291192213727,
GP-VAR-8 SV,2010-12-31,2011-12-31,4,RGDP,-1.7289420898960928,1.234119552662249
GP-VAR-8 SV,2010-12-31,2011-12-31,4,CPI,-1.8366906714282292,1.1811193505868656
GP-VAR-8 SV,2010-12-31,2011-12-31,4,FFR,-1.6517854783616812,1.1897746256455597
GP-VAR-8 SV,2011-12-31,2012-03-31,1,joint,-3.0834995201302546,
GP-VAR-8 SV,2011-12-31,2012-03-31,1,RGDP,-1.4147603428479067,0.8366617983190219
GP-VAR-8 SV,2011-12-31,2012-03-31,1,CPI,-0.5025663173658432,0.3459749954094102
GP-VAR-8 SV,2011-12-31,2012-03-31,1,FFR,-1.1417804444604063,0.6284149310409357
GP-VAR-8 SV,2011-12-31,2012-12-31,4,joint,-4.028513986741003,
GP-VAR-8 SV,2011-12-31,2012-12-31,4,RGDP,-1.3258171001193586,0.7478238857852344
GP-VAR-8 SV,2011-12-31,2012-12-31,4,CPI,-1.1720380746271077,0.7310210530047041
GP-VAR-8 SV,2011-12-31,2012-12-31,4,FFR,-1.6087691681178566,1.113874126848618
GP-VAR-8 SV,2012-12-31,2013-03-31,1,joint,-2.73937097215678,
GP-VAR-8 SV,2012-12-31,2013-03-31,1,RGDP,-0.8002241860072026,0.44264165183752235
GP-VAR-8 SV,2012-12-31,2013-03-31,1,CPI,-0.8345664437257482,0.5148343395334002
GP-VAR-8 SV,2012-12-31,2013-03-31,1,FFR,-1.117831110774532,0.6185727516746631
GP-VAR-8 SV,2012-12-31,2013-12-31,4,joint,-4.514773876844259,
GP-VAR-8 SV,2012-12-31,2013-12-31,4,RGDP,-1.3701605732382858,0.7920777517766739
GP-VAR-8 SV,2012-12-31,2013-12-31,4,CPI,-1.613516162976159,1.122481953875793
GP-VAR-8 SV,2012-12-31,2013-12-31,4,FFR,-1.552485784792165,1.0272673309961715
GP-VAR-8 SV,2013-12-31,2014-03-31,1,joint,-4.227926507909928,
GP-VAR-8 SV,2013-12-31,2014-03-31,1,RGDP,-2.3965240938241945,1.2188075066685569
GP-VAR-8 SV,2013-12-31,2014-03-31,1,CPI,-0.7691898983025999,0.44091474938267083
GP-VAR-8 SV,2013-12-31,2014-03-31,1,FFR,-1.0781032488315285,0.5960995237333586
GP-VAR-8 SV,2013-12-31,2014-12-31,4,joint,-4.029423534698648,
GP-VAR-8 SV,2013-12-31,2014-12-31,4,RGDP,-1.2379263037982788,0.7167286768881513
GP-VAR-8 SV,2013-12-31,2014-12-31,4,CPI,-1.351973819863601,0.8909364191760168
GP-VAR-8 SV,2013-12-31,2014-12-31,4,FFR,-1.5650655333374697,1.0733446231600023
GP-VAR-8 SV,2014-12-31,2015-03-31,1,joint,-4.818176849263706,
GP-VAR-8 SV,2014-12-31,2015-03-31,1,RGDP,-1.7845532794924766,0.9467632076705847
GP-VAR-8 SV,2014-12-31,2015-03-31,1,CPI,-1.9578210842097332,1.179473192692515
GP-VAR-8 SV,2014-12-31,2015-03-31,1,FFR,-1.003500567854298,0.5532422125148455
GP-VAR-8 SV,2014-12-31,2015-12-31,4,joint,-4.4604799214010304,
GP-VAR-8 SV,2014-12-31,2015-12-31,4,RGDP,-1.1459419767463428,0.6244193922295307
GP-VAR-8 SV,2014-12-31,2015-12-31,4,CPI,-1.982036366035017,1.362606476199156
GP-VAR-8 SV,2014-12-31,2015-12-31,4,FFR,-1.3890763589697495,0.8442139735511622
GP-VAR-8 SV,2015-12-31,2016-03-31,1,joint,-2.8035511153414157,
GP-VAR-8 SV,2015-12-31,2016-03-31,1,RGDP,-0.7776396156406494,0.41882325210098853
GP-VAR-8 SV,2015-12-31,2016-03-31,1,CPI,-0.9624168993893658,0.5685897154196362
GP-VAR-8 SV,2015-12-31,2016-03-31,1,FFR,-1.0796647744619539,0.6387027841350446
GP-VAR-8 SV,2015-12-31,2016-12-31,4,joint,-4.073252657623009,
GP-VAR-8 SV,2015-12-31,2016-12-31,4,RGDP,-1.3164632819852016,0.7080222371373088
GP-VAR-8 SV,2015-12-31,2016-12-31,4,CPI,-1.2101681209816055,0.6650097123333812
GP-VAR-8 SV,2015-12-31,2016-12-31,4,FFR,-1.5501991412610177,1.0244315081132642
GP-VAR-8 SV,2016-12-31,2017-03-31,1,joint,-2.965936163169544,
GP-VAR-8 SV,2016-12-31,2017-03-31,1,RGDP,-0.6870796670857734,0.4237595917362701
GP-VAR-8 SV,2016-12-31,2017-03-31,1,CPI,-1.365028409728288,0.7590801751512275
GP-VAR-8 SV,2016-12-31,2017-03-31,1,FFR,-0.9538872489967885,0.5375654815025646
GP-VAR-8 SV,2016-12-31,2017-12-31,4,joint,-3.7426346131151216,
GP-VAR-8 SV,2016-12-31,2017-12-31,4,RGDP,-1.1965550769498314,0.6505490688933933
GP-VAR-8 SV,2016-12-31,2017-12-31,4,CPI,-1.2080595487166021,0.6638029015092288
GP-VAR-8 SV,2016-12-31,2017-12-31,4,FFR,-1.4132510481158511,0.8334204784413785
GP-VAR-8 SV,2017-12-31,2018-03-31,1,joint,-2.041160910471227,
GP-VAR-8 SV,2017-12-31,2018-03-31,1,RGDP,-0.7795588045805153,0.47161686946999026
GP-VAR-8 SV,2017-12-31,2018-03-31,1,CPI,-0.6176722629600511,0.3766402828606805
GP-VAR-8 SV,2017-12-31,2018-03-31,1,FFR,-0.6675110024740853,0.3931945706868314
GP-VAR-8 SV,2017-12-31,2018-12-31,4,joint,-3.657293978479142,
GP-VAR-8 SV,2017-12-31,2018-12-31,4,RGDP,-1.197930083521777,0.7065908515230848
GP-VAR-8 SV,2017-12-31,2018-12-31,4,CPI,-0.9929401853723338,0.5302471518111411
GP-VAR-8 SV,2017-12-31,2018-12-31,4,FFR,-1.4486084419791294,0.8617878654289735
GP-VAR-8 SV,2018-12-31,2019-03-31,1,joint,-2.0998469492765803,
GP-VAR-8 SV,2018-12-31,2019-03-31,1,RGDP,-0.6585842747344941,0.408211294162769
GP-VAR-8 SV,2018-12-31,2019-03-31,1,CPI,-0.7340763868831298,0.48007340932032183
GP-VAR-8 SV,2018-12-31,2019-03-31,1,FFR,-0.6793293576286071,0.4103480707752706
GP-VAR-8 SV,2018-12-31,2019-12-31,4,joint,-3.8472356023566974,
GP-VAR-8 SV,2018-12-31,2019-12-31,4,RGDP,-1.5323149729462444,0.965734947019284
GP-VAR-8 SV,2018-12-31,2019-12-31,4,CPI,-0.9262037160239966,0.5057294399475507
GP-VAR-8 SV,2018-12-31,2019-12-31,4,FFR,-1.3654066491807701,0.8193396334201659
GP-VAR-8 homoskedastic,2007-12-31,2008-03-31,1,joint,-4.186429814178187,
GP-VAR-8 homoskedastic,2007-12-31,2008-03-31,1,RGDP,-1.0480114189586291,0.633741335724568
GP-VAR-8 homoskedastic,2007-12-31,2008-03-31,1,CPI,-0.7921115821671416,0.47603720200635663
GP-VAR-8 homoskedastic,2007-12-31,2008-03-31,1,FFR,-2.1326409149175753,1.4056898165298661
GP-VAR-8 homoskedastic,2007-12-31,2008-12-31,4,joint,-7.179908361470137,
GP-VAR-8 homoskedastic,2007-12-31,2008-12-31,4,RGDP,-4.0651405029695,3.0239756642716444
GP-VAR-8 homoskedastic,2007-12-31,2008-12-31,4,CPI,-1.6844063031018175,1.1724432757659007
GP-VAR-8 homoskedastic,2007-12-31,2008-12-31,4,FFR,-2.7587226727217606,2.639361052654494
GP-VAR-8 homoskedastic,2008-12-31,2009-03-31,1,joint,-7.3765435913547375,
GP-VAR-8 homoskedastic,2008-12-31,2009-03-31,1,RGDP,-2.52160047911362,1.8777030709471916
GP-VAR-8 homoskedastic,2008-12-31,2009-03-31,1,CPI,-2.9569597690284497,1.7609437032360042
GP-VAR-8 homoskedastic,2008-12-31,2009-03-31,1,FFR,-1.338369329327123,0.7952491474019456
GP-VAR-8 homoskedastic,2008-12-31,2009-12-31,4,joint,-5.74661772438399,
GP-VAR-8 homoskedastic,2008-12-31,2009-12-31,4,RGDP,-2.6425865791957044,2.2434407353804975
GP-VAR-8 homoskedastic,2008-12-31,2009-12-31,4,CPI,-1.7646974565378866,1.2206111259858865
GP-VAR-8 homoskedastic,2008-12-31,2009-12-31,4,FFR,-1.8470125483349151,1.4547698472121655
