element,mean,q16,q50,q84,P(>0)
"q[RGDP,UNC]",-0.19306245655887558,-0.2520831571589125,-0.19716669046501867,-0.1299626427276118,0.004
"q[EMP,UNC]",-0.020211566738390706,-0.050618697626394385,-0.01342925667488503,0.00542354277638036,0.2775
"q[EMP,RGDP]",0.38721506021931523,0.33411499187613436,0.38789189968819393,0.43626018566664243,1.0
"q[AWH,UNC]",-0.1173200621201012,-0.16619219335611957,-0.11979582401004557,-0.07087194386976528,0.016
"q[AWH,RGDP]",0.18966429591241193,0.1398423377457096,0.1914937362853839,0.23852925029838312,1.0
"q[AWH,EMP]",0.0549002339150822,0.0021716896662070514,0.045868966205415855,0.11001834480015384,0.873
"q[CPI,UNC]",0.061348708019180284,0.010798825364651345,0.058957717010039816,0.10941066092744181,0.9165
"q[CPI,RGDP]",0.011090812446758186,-0.015202998364901875,0.004955498518347759,0.04309393325609209,0.6155
"q[CPI,EMP]",0.08085325763653164,0.022184395041067038,0.08330554539781576,0.13093234147039012,0.9445
"q[CPI,AWH]",-0.02008292652444377,-0.05508504619226045,-0.010614315060397311,0.0082753520377678,0.302
"q[AHE,UNC]",0.03176937656105208,-0.003001324578580072,0.022141406079068875,0.07452847980494053,0.769
"q[AHE,RGDP]",0.007324556804499178,-0.02207059000440943,0.0032775063047779164,0.04011079986724969,0.571
"q[AHE,EMP]",0.05539739798303336,0.0014010864734793403,0.04684560579758988,0.11073116440085634,0.86
"q[AHE,AWH]",-0.016733990158024323,-0.055523331502136536,-0.00928468639279312,0.01465722163620149,0.351
"q[AHE,CPI]",-0.07286175946497501,-0.13162666099295156,-0.0685693228781413,-0.013105598360682095,0.067
"q[FFR,UNC]",-0.011561367313330085,-0.03485875844528849,-0.008169830385385613,0.007753678979937226,0.3175
"q[FFR,RGDP]",0.03431124102046228,0.0010846375572170414,0.031807301121851275,0.06928430305663828,0.858
"q[FFR,EMP]",0.08471580944975429,0.05301576188560512,0.08570363934093134,0.11771708528955586,0.993
"q[FFR,AWH]",0.017999982109932557,-0.006478672919258542,0.012280959898056033,0.04512941748285491,0.7355
"q[FFR,CPI]",0.04720527183330883,0.007953524231713421,0.04349033076912621,0.0834369851836087,0.926
"q[FFR,AHE]",-0.004425828556520138,-0.01905630511340613,-0.0016182389934237063,0.009446350272491648,0.4145
"q[SP500,UNC]",-0.10035654883854177,-0.2195731262256623,-0.07329708102391037,0.0004650275238301964,0.1725
"q[SP500,RGDP]",0.04266752857563115,-0.016957828885283095,0.01420018980090831,0.11252967220596484,0.67
"q[SP500,EMP]",-0.16809095960618892,-0.321547137182405,-0.14998502932653474,-0.01053541749559802,0.1
"q[SP500,AWH]",0.015132376215882502,-0.029447847512311654,0.003441747661798949,0.06616183483359418,0.56
"q[SP500,CPI]",-0.041951002958095646,-0.11164466504814724,-0.014183155447300132,0.013549508583148065,0.3225
"q[SP500,AHE]",-0.046683181054068275,-0.11571633273347176,-0.026226882543319598,0.006297502595147961,0.2475
"q[SP500,FFR]",-0.021657809847214667,-0.07902227491761116,-0.008500525884008066,0.02883972977431738,0.3715
