shock,variable,impact,peak,peak_horizon,peak_q16,peak_q84,cumulative
positive 1 sd,UNC,1.0,1.0,0,1.0,1.0,5.393734643244815
positive 1 sd,RGDP,-0.19514706422778963,-0.5427031505385853,6,-0.6311972989867172,-0.4496629484038662,-4.73981409554792
positive 1 sd,EMP,-0.08716037709878957,-0.45111671409987325,6,-0.5470031763909982,-0.36797934435806934,-4.323464156066463
positive 1 sd,AWH,-0.15571455820328245,-0.2811661772696167,6,-0.35849028546089684,-0.21814300328229108,-2.4882369869725225
positive 1 sd,CPI,0.04914188438837219,0.06510275208966491,2,-0.00015298096721284843,0.1202435897983202,-0.14991522957023729
positive 1 sd,AHE,0.02054704596859567,-0.04596516340936941,13,-0.09285522480517992,0.018028399593018336,-0.2493266125721675
positive 1 sd,FFR,-0.024011235667710865,-0.24232074093033293,9,-0.29468806845994483,-0.20444454117493027,-2.902702248290864
positive 1 sd,SP500,-0.07127222748097686,-0.21604938694968023,4,-0.30852038573893986,-0.15243347469153434,-1.3727423219031674
negative 1 sd,UNC,-1.0,-1.0,0,-1.0,-1.0,-3.7263453855833735
negative 1 sd,RGDP,0.19514706422778963,0.3412136662314062,5,0.2914885756430928,0.3871710166244872,3.077829539441709
negative 1 sd,EMP,0.08716037709878957,0.2611056030150949,3,0.20819843335450516,0.31064904115113345,2.551225023100518
negative 1 sd,AWH,0.15571455820328245,0.2005106784120751,1,0.15908136709795828,0.2505239495637853,1.7241754154366797
negative 1 sd,CPI,-0.04914188438837219,-0.0623490542963282,1,-0.11509853841169095,-0.004873744286506935,-0.28643048345674565
negative 1 sd,AHE,-0.02054704596859567,-0.028360385985901453,1,-0.07789330317812182,0.014904562688406293,0.14812503916771225
negative 1 sd,FFR,0.024011235667710865,0.1478252663833085,9,0.12023025318571105,0.18253775306532602,1.8858465061411847
negative 1 sd,SP500,0.07127222748097686,0.14323080329019122,4,0.09364990614007943,0.19469980984021432,0.8713394491487981
positive 2 sd,UNC,2.0,2.0,0,2.0,2.0,7.533994144906572
positive 2 sd,RGDP,-0.39029412845557926,-0.8469291403905409,5,-0.9678294292323608,-0.7144081800540784,-6.344540420235602
positive 2 sd,EMP,-0.17432075419757914,-0.7085290920365188,5,-0.8274947327989561,-0.5925940152123895,-6.1290924944304725
positive 2 sd,AWH,-0.3114291164065649,-0.43961509118124276,5,-0.5573983413827358,-0.33738233013739966,-3.474008867451163
positive 2 sd,CPI,0.09828376877674438,0.11158365200718873,1,0.006621605267242266,0.21412923795405087,-0.5308496429308993
positive 2 sd,AHE,0.04109409193719134,-0.06416702349680706,12,-0.12935908721696227,0.031954733113445655,-0.3080274907887168
positive 2 sd,FFR,-0.04802247133542173,-0.35748736958697913,8,-0.41343358128660923,-0.29833838670708657,-4.28743492981672
positive 2 sd,SP500,-0.14254445496195373,-0.3133684045962265,3,-0.46555486606613306,-0.1837759387264387,-1.818468017434758
