period,variable,impact,peak,peak_horizon,peak_q16,peak_q84,cumulative
1970Q1-1984Q4,UNC,1.0,1.0,0,1.0,1.0,3.977024666193285
1970Q1-1984Q4,RGDP,-0.19514706422778944,-0.3465361944791302,6,-0.42242515313281437,-0.27117264085827963,-2.8413057079501463
1970Q1-1984Q4,EMP,-0.08716037709878979,-0.26512264001713925,3,-0.3088906114410879,-0.203175995872587,-2.41595498941373
1970Q1-1984Q4,AWH,-0.15571455820328256,-0.18236426767608632,1,-0.2287313381638152,-0.14655704761202504,-1.4987719033417615
1970Q1-1984Q4,CPI,0.04914188438837215,-0.07044404316664857,12,-0.12046058949941335,0.005611352963376446,-0.25286872216980094
1970Q1-1984Q4,AHE,0.020547045968595638,0.027943383376156927,1,-0.014943234352458526,0.07554139933203334,0.1631359868942123
1970Q1-1984Q4,FFR,-0.02401123566771081,-0.18946635171449855,10,-0.2362134128920165,-0.1274359573900093,-2.244427514572561
1970Q1-1984Q4,SP500,-0.07127222748097678,-0.11894272348037768,4,-0.18464787749677278,-0.06811273427836845,-0.5424287566076992
1985Q1-2006Q4,UNC,1.0,1.0,0,1.0,1.0,5.936481239026237
1985Q1-2006Q4,RGDP,-0.19514706422778952,-0.6821890092433988,6,-0.7988174897132057,-0.5571196605142094,-5.858732866023412
1985Q1-2006Q4,EMP,-0.08716037709878982,-0.5659079017960003,7,-0.6775221265633382,-0.44110507510898167,-5.432084089014787
1985Q1-2006Q4,AWH,-0.1557145582032825,-0.3676390052122831,5,-0.4407791218258682,-0.29365689604433237,-3.2143422085092905
1985Q1-2006Q4,CPI,0.04914188438837215,-0.07661154817649443,10,-0.13920321731599428,-0.0012187537833325268,-0.2683706548185816
1985Q1-2006Q4,AHE,0.020547045968595655,-0.05897315708271022,13,-0.12319653902050061,0.015920979906653344,-0.3406467875811365
1985Q1-2006Q4,FFR,-0.02401123566771081,-0.34047864564977237,9,-0.41881278061203037,-0.2842106122851681,-3.9566401131859754
1985Q1-2006Q4,SP500,-0.07127222748097692,-0.2888730818507799,4,-0.38495987106725627,-0.18851207699243663,-1.9326260222744367
2007Q1-2019Q4,UNC,1.0,1.0,0,1.0,1.0,5.831872486965541
2007Q1-2019Q4,RGDP,-0.1951470642277894,-0.5228816193698166,5,-0.6262058644493894,-0.4403200509420551,-4.603960153607954
2007Q1-2019Q4,EMP,-0.08716037709878979,-0.45770368011042817,6,-0.5606979899579126,-0.3648496406846622,-4.502069618378862
2007Q1-2019Q4,AWH,-0.15571455820328256,-0.2584414171312468,5,-0.3538928315733254,-0.18542550046239065,-2.2301093989395087
2007Q1-2019Q4,CPI,0.049141884388372144,0.06351516354109626,1,0.004027926496227317,0.12049062197916918,0.09976538851934151
2007Q1-2019Q4,AHE,0.020547045968595634,-0.06163509976113955,14,-0.1334610761630128,0.003452738015058101,-0.3266425453743088
2007Q1-2019Q4,FFR,-0.02401123566771081,-0.13686063555059924,8,-0.16711357412039451,-0.10579253811030756,-1.7143854173903372
2007Q1-2019Q4,SP500,-0.07127222748097678,-0.20810166309084704,4,-0.30840446124001974,-0.12243816196447067,-1.327548909605086
