variable,horizon,mean,sd_across_histories,min,max
UNC,1,0.8690503525350982,0.24151140847206992,-0.6084754985035616,1.241251035602422
UNC,4,0.6222274048204893,0.3050526581671331,-0.476461724438605,1.200312174581624
UNC,8,0.15738556876532125,0.160696939395282,-0.26757937652512565,0.47879115186314203
RGDP,1,-0.2811447324322365,0.06415923493251784,-0.37128147738263934,0.10416746332097553
RGDP,4,-0.46712697335972425,0.234051894102469,-0.855874731341816,0.26881756014975877
RGDP,8,-0.3827777230156463,0.28340152825754567,-0.9176090633798573,0.2132843727423954
EMP,1,-0.19128612843380288,0.03971854602978998,-0.2501048408977192,0.02549216296210064
EMP,4,-0.3800971716432189,0.1688048404904504,-0.6841355816211931,0.2215187290119428
EMP,8,-0.3796881835916281,0.2419988980403889,-0.8742176879588635,0.21213526512336411
AWH,1,-0.2163693839805438,0.05195200109921684,-0.3151182670195396,0.019958753224279768
AWH,4,-0.24377723147295238,0.13910551009618702,-0.5684605281428071,0.16908164059695993
AWH,8,-0.2024630847406614,0.15566803629572956,-0.5581822944741968,0.13898053389298987
CPI,1,0.06280033433085717,0.021435239749756523,-0.044763521458621724,0.09467801057740896
CPI,4,0.028159925058830658,0.04719293530382236,-0.07113495652564875,0.14365237345776083
CPI,8,-0.0352243630208167,0.050452910365196536,-0.19259042496045375,0.11409703694913
AHE,1,0.0284048008072173,0.007751894107054977,-0.0032511947270442735,0.048159249170962454
AHE,4,0.008197285436523568,0.016774563849348938,-0.04314174431553773,0.06520979019967271
AHE,8,-0.017434800182224954,0.022068875468819634,-0.06252225284175861,0.05918513359133439
FFR,1,-0.05390492897151146,0.01367442292601734,-0.07180575708980033,0.011513496279285019
FFR,4,-0.13125847052678116,0.0729868925327671,-0.27443274349599817,0.027188337679136663
FFR,8,-0.21352785960886406,0.14437263891328908,-0.5630323683546732,0.0269292982989213
SP500,1,-0.10451109770993704,0.0747994909600613,-0.2711202295012569,0.24994933771602854
SP500,4,-0.20801399520332373,0.16046592499995196,-0.5562420476716448,0.2985527463709853
SP500,8,-0.06930760281890891,0.08317571385610253,-0.2975929868943553,0.11711763967828717
